,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,NOP,Zion Williamson,Duke,1.0,19.0,565.0,448.0,129.0,41.0,0.589,0.462,0.645,29.7,23.6,6.8,2.2,1.8,0.149,2.4,0.6
2,2.0,MEM,Ja Morant,Murray State,1.0,59.0,1771.0,1041.0,208.0,409.0,0.491,0.367,0.77,30.0,17.6,3.5,6.9,3.4,0.093,0.4,1.1
3,3.0,NYK,RJ Barrett,Duke,1.0,56.0,1704.0,803.0,279.0,143.0,0.402,0.32,0.614,30.4,14.3,5.0,2.6,-0.5,-0.015,-4.3,-1.0
4,4.0,LAL,De'Andre Hunter,Virginia,1.0,63.0,2018.0,778.0,286.0,112.0,0.41,0.355,0.764,32.0,12.3,4.5,1.8,0.1,0.001,-4.7,-1.4
5,5.0,CLE,Darius Garland,Vanderbilt,1.0,59.0,1824.0,728.0,111.0,229.0,0.401,0.355,0.875,30.9,12.3,1.9,3.9,-1.3,-0.035,-5.6,-1.7
6,6.0,PHO,Jarrett Culver,Texas Tech,1.0,63.0,1506.0,580.0,212.0,110.0,0.404,0.299,0.462,23.9,9.2,3.4,1.7,-0.1,-0.004,-4.0,-0.8
7,7.0,CHI,Coby White,UNC,1.0,65.0,1674.0,859.0,230.0,175.0,0.394,0.354,0.791,25.8,13.2,3.5,2.7,0.9,0.026,-2.8,-0.3
8,8.0,ATL,Jaxson Hayes,Texas,1.0,56.0,951.0,420.0,223.0,51.0,0.66,0.25,0.63,17.0,7.5,4.0,0.9,3.5,0.176,0.1,0.5
9,9.0,WAS,Rui Hachimura,Gonzaga,1.0,41.0,1217.0,548.0,248.0,70.0,0.478,0.274,0.829,29.7,13.4,6.0,1.7,1.7,0.066,-3.0,-0.3
10,10.0,ATL,Cam Reddish,Duke,1.0,58.0,1551.0,610.0,216.0,87.0,0.384,0.332,0.802,26.7,10.5,3.7,1.5,-0.4,-0.011,-4.2,-0.9
11,11.0,MIN,Cameron Johnson,UNC,1.0,49.0,996.0,398.0,140.0,52.0,0.418,0.397,0.761,20.3,8.1,2.9,1.1,1.8,0.086,-0.2,0.5
12,12.0,CHO,PJ Washington,Kentucky,1.0,58.0,1759.0,710.0,316.0,123.0,0.455,0.374,0.647,30.3,12.2,5.4,2.1,2.0,0.054,-1.6,0.2
13,13.0,MIA,Tyler Herro,Kentucky,1.0,47.0,1280.0,605.0,187.0,91.0,0.414,0.391,0.835,27.2,12.9,4.0,1.9,0.9,0.033,-2.3,-0.1
14,14.0,BOS,Romeo Langford,Indiana,1.0,27.0,298.0,69.0,32.0,6.0,0.375,0.217,0.696,11.0,2.6,1.2,0.2,0.2,0.039,-4.6,-0.2
