,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHO,Deandre Ayton,Arizona,2.0,101.0,3179.0,1729.0,1089.0,182.0,0.572,0.0,0.753,31.5,17.1,10.8,1.8,8.3,0.125,0.3,1.9
2,2.0,SAC,Marvin Bagley,Duke,2.0,75.0,1901.0,1108.0,568.0,72.0,0.497,0.288,0.703,25.3,14.8,7.6,1.0,4.0,0.1,-1.4,0.3
3,3.0,ATL,Luka Dončić,,2.0,126.0,4117.0,3075.0,1065.0,899.0,0.443,0.322,0.733,32.7,24.4,8.5,7.1,13.0,0.151,5.9,8.2
4,4.0,MEM,Jaren Jackson,Michigan State,2.0,112.0,3027.0,1712.0,526.0,140.0,0.485,0.386,0.755,27.0,15.3,4.7,1.3,6.5,0.102,0.0,1.5
5,5.0,DAL,Trae Young,Oklahoma,2.0,141.0,4623.0,3327.0,556.0,1213.0,0.428,0.344,0.847,32.8,23.6,3.9,8.6,9.2,0.095,1.5,4.0
6,6.0,ORL,Mohamed Bamba,Texas,2.0,107.0,1634.0,624.0,532.0,81.0,0.474,0.333,0.624,15.3,5.8,5.0,0.8,4.2,0.124,-0.4,0.7
7,7.0,CHI,Wendell Carter,Duke,2.0,87.0,2366.0,939.0,712.0,129.0,0.508,0.197,0.761,27.2,10.8,8.2,1.5,5.2,0.105,-2.0,0.0
8,8.0,CLE,Collin Sexton,Alabama,2.0,147.0,4748.0,2720.0,440.0,435.0,0.45,0.392,0.843,32.3,18.5,3.0,3.0,1.9,0.02,-3.4,-1.7
9,9.0,NYK,Kevin Knox,Kentucky,2.0,140.0,3324.0,1382.0,519.0,143.0,0.367,0.337,0.697,23.7,9.9,3.7,1.0,-1.2,-0.017,-5.2,-2.7
10,10.0,PHI,Mikal Bridges,Villanova,2.0,147.0,4189.0,1249.0,523.0,288.0,0.466,0.341,0.825,28.5,8.5,3.6,2.0,7.0,0.08,-0.6,1.5
11,11.0,CHO,Shai Gilgeous-Alexander,Kentucky,2.0,145.0,4388.0,2105.0,616.0,478.0,0.474,0.357,0.801,30.3,14.5,4.2,3.3,8.9,0.097,0.6,2.9
12,12.0,LAC,Miles Bridges,Michigan State,2.0,145.0,3691.0,1440.0,685.0,209.0,0.44,0.328,0.788,25.5,9.9,4.7,1.4,4.5,0.059,-1.7,0.3
13,13.0,LAC,Jerome Robinson,Boston College,2.0,88.0,1068.0,313.0,147.0,84.0,0.365,0.304,0.684,12.1,3.6,1.7,1.0,0.1,0.006,-4.6,-0.7
14,14.0,DEN,Michael Porter,Missouri,1.0,48.0,670.0,358.0,199.0,35.0,0.495,0.422,0.767,14.0,7.5,4.1,0.7,2.0,0.141,0.8,0.5
15,15.0,WAS,Troy Brown,Oregon,2.0,113.0,2249.0,842.0,470.0,222.0,0.441,0.336,0.733,19.9,7.5,4.2,2.0,2.8,0.059,-1.7,0.1
16,16.0,PHO,Zhaire Smith,Texas Tech,2.0,13.0,143.0,48.0,15.0,12.0,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,0.011,-6.1,-0.1
17,17.0,MIL,Donte DiVincenzo,Villanova,2.0,86.0,1773.0,685.0,354.0,167.0,0.45,0.322,0.767,20.6,8.0,4.1,1.9,5.1,0.137,1.1,1.4
18,18.0,SAS,Lonnie Walker,Miami (FL),2.0,70.0,885.0,344.0,132.0,55.0,0.422,0.405,0.73,12.6,4.9,1.9,0.8,0.5,0.027,-3.1,-0.3
19,19.0,ATL,Kevin Huerter,Maryland,2.0,131.0,3808.0,1411.0,473.0,427.0,0.416,0.383,0.783,29.1,10.8,3.6,3.3,3.0,0.038,-2.0,0.0
20,20.0,MIN,Josh Okogie,Georgia Tech,2.0,136.0,3304.0,1103.0,486.0,190.0,0.404,0.274,0.765,24.3,8.1,3.6,1.4,3.4,0.049,-2.7,-0.6
21,21.0,UTA,Grayson Allen,Duke,2.0,68.0,914.0,432.0,89.0,68.0,0.412,0.342,0.789,13.4,6.4,1.3,1.0,0.7,0.039,-4.3,-0.5
22,22.0,CHI,Chandler Hutchison,Boise State,2.0,72.0,1422.0,447.0,293.0,60.0,0.458,0.295,0.595,19.8,6.2,4.1,0.8,1.2,0.041,-3.4,-0.5
23,23.0,IND,Aaron Holiday,UCLA,2.0,108.0,2014.0,840.0,199.0,280.0,0.405,0.373,0.844,18.6,7.8,1.8,2.6,2.6,0.062,-1.6,0.2
24,24.0,POR,Anfernee Simons,,2.0,85.0,1541.0,647.0,160.0,108.0,0.406,0.339,0.787,18.1,7.6,1.9,1.3,0.4,0.011,-4.4,-1.0
25,25.0,LAL,Moritz Wagner,Michigan,2.0,80.0,1153.0,559.0,277.0,73.0,0.506,0.313,0.815,14.4,7.0,3.5,0.9,2.0,0.082,-2.6,-0.2
26,26.0,PHI,Landry Shamet,Wichita State,2.0,126.0,3096.0,1176.0,224.0,204.0,0.425,0.41,0.846,24.6,9.3,1.8,1.6,6.3,0.097,-1.6,0.3
27,27.0,BOS,Robert Williams,Texas A&M,2.0,55.0,606.0,179.0,189.0,29.0,0.69,0.0,0.575,11.0,3.3,3.4,0.5,2.6,0.203,2.9,0.7
