,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1.0,PHI,Markelle Fultz,Washington,3.0,97.0,2493.0,1027.0,326.0,446.0,0.456,0.256,0.668,25.7,10.6,3.4,4.6,3.2,0.062,-2.0,0.0
2,2.0,LAL,Lonzo Ball,UCLA,3.0,155.0,5020.0,1688.0,959.0,1023.0,0.393,0.343,0.484,32.4,10.9,6.2,6.6,6.1,0.058,0.6,3.3
3,3.0,BOS,Jayson Tatum,Duke,3.0,218.0,6936.0,3745.0,1297.0,470.0,0.456,0.399,0.827,31.8,17.2,5.9,2.2,18.3,0.127,1.5,6.2
4,4.0,PHO,Josh Jackson,Kansas,3.0,174.0,4304.0,2110.0,756.0,333.0,0.417,0.298,0.651,24.7,12.1,4.3,1.9,-1.9,-0.021,-4.0,-2.2
5,5.0,SAC,De'Aaron Fox,Kentucky,3.0,199.0,5998.0,3163.0,689.0,1214.0,0.448,0.335,0.718,30.1,15.9,3.5,6.1,8.5,0.068,-0.3,2.5
6,6.0,ORL,Jonathan Isaac,Florida State,3.0,134.0,3481.0,1249.0,732.0,142.0,0.432,0.328,0.794,26.0,9.3,5.5,1.1,6.5,0.089,0.1,1.9
7,7.0,MIN,Lauri Markkanen,Arizona,3.0,170.0,5194.0,2744.0,1291.0,228.0,0.43,0.356,0.848,30.6,16.1,7.6,1.3,8.7,0.08,-0.3,2.2
8,8.0,NYK,Frank Ntilikina,,3.0,178.0,3797.0,1066.0,385.0,543.0,0.366,0.311,0.783,21.3,6.0,2.2,3.1,-0.9,-0.011,-4.7,-2.5
9,9.0,DAL,Dennis Smith,NC State,3.0,156.0,4094.0,1957.0,493.0,708.0,0.4,0.314,0.647,26.2,12.5,3.2,4.5,-1.6,-0.018,-2.7,-0.7
10,10.0,SAC,Zach Collins,Gonzaga,3.0,146.0,2487.0,831.0,557.0,129.0,0.442,0.324,0.73,17.0,5.7,3.8,0.9,3.7,0.071,-2.5,-0.3
11,11.0,CHO,Malik Monk,Kentucky,3.0,191.0,3281.0,1638.0,360.0,322.0,0.395,0.322,0.85,17.2,8.6,1.9,1.7,1.0,0.015,-2.9,-0.7
12,12.0,DET,Luke Kennard,Duke,3.0,164.0,3822.0,1613.0,457.0,353.0,0.441,0.402,0.863,23.3,9.8,2.8,2.2,7.0,0.088,-0.8,1.2
13,13.0,DEN,Donovan Mitchell,Louisville,3.0,219.0,7401.0,4970.0,888.0,877.0,0.44,0.355,0.821,33.8,22.7,4.1,4.0,15.4,0.1,1.4,6.5
14,14.0,MIA,Bam Adebayo,Kentucky,3.0,216.0,5516.0,2259.0,1661.0,618.0,0.558,0.114,0.711,25.5,10.5,7.7,2.9,19.2,0.167,2.0,5.6
