game,,2020,Sun, Apr 5, 2020,,Utah Jazz,,Denver Nuggets,,,,
game,,2020,Sun, Apr 5, 2020,,Chicago Bulls,,Phoenix Suns,,,,
game,,2020,Sun, Apr 5, 2020,,Toronto Raptors,,Houston Rockets,,,,
game,,2020,Sun, Apr 5, 2020,,Detroit Pistons,,Minnesota Timberwolves,,,,
game,,2020,Sun, Apr 5, 2020,,New Orleans Pelicans,,San Antonio Spurs,,,,
game,,2020,Sun, Apr 5, 2020,,Memphis Grizzlies,,Portland Trail Blazers,,,,
game,,2020,Sun, Apr 5, 2020,,Cleveland Cavaliers,,Sacramento Kings,,,,
game,,2020,Sun, Apr 5, 2020,,Oklahoma City Thunder,,Los Angeles Lakers,,,,
game,,2020,Mon, Apr 6, 2020,,Chicago Bulls,,Los Angeles Clippers,,,,
game,,2020,Tue, Apr 7, 2020,,Toronto Raptors,,Washington Wizards,,,,
game,,2020,Tue, Apr 7, 2020,,Detroit Pistons,,Atlanta Hawks,,,,
game,,2020,Tue, Apr 7, 2020,,Indiana Pacers,,Miami Heat,,,,
game,,2020,Tue, Apr 7, 2020,,Milwaukee Bucks,,Philadelphia 76ers,,,,
game,,2020,Tue, Apr 7, 2020,,Phoenix Suns,,Minnesota Timberwolves,,,,
game,,2020,Tue, Apr 7, 2020,,Charlotte Hornets,,New Orleans Pelicans,,,,
game,,2020,Tue, Apr 7, 2020,,Brooklyn Nets,,Oklahoma City Thunder,,,,
game,,2020,Tue, Apr 7, 2020,,Houston Rockets,,Dallas Mavericks,,,,
game,,2020,Tue, Apr 7, 2020,,Sacramento Kings,,San Antonio Spurs,,,,
game,,2020,Tue, Apr 7, 2020,,Memphis Grizzlies,,Denver Nuggets,,,,
game,,2020,Tue, Apr 7, 2020,,Golden State Warriors,,Los Angeles Lakers,,,,
game,,2020,Tue, Apr 7, 2020,,Cleveland Cavaliers,,Portland Trail Blazers,,,,
game,,2020,Tue, Apr 7, 2020,,Los Angeles Clippers,,Utah Jazz,,,,
game,,2020,Wed, Apr 8, 2020,,Indiana Pacers,,Boston Celtics,,,,
game,,2020,Wed, Apr 8, 2020,,Toronto Raptors,,Charlotte Hornets,,,,
game,,2020,Wed, Apr 8, 2020,,Orlando Magic,,New York Knicks,,,,
game,,2020,Wed, Apr 8, 2020,,San Antonio Spurs,,Houston Rockets,,,,
game,,2020,Wed, Apr 8, 2020,,Cleveland Cavaliers,,Golden State Warriors,,,,
game,,2020,Wed, Apr 8, 2020,,Chicago Bulls,,Los Angeles Lakers,,,,
game,,2020,Thu, Apr 9, 2020,,Detroit Pistons,,Miami Heat,,,,
game,,2020,Thu, Apr 9, 2020,,Brooklyn Nets,,Milwaukee Bucks,,,,
game,,2020,Thu, Apr 9, 2020,,Sacramento Kings,,Minnesota Timberwolves,,,,
game,,2020,Thu, Apr 9, 2020,,Phoenix Suns,,New Orleans Pelicans,,,,
game,,2020,Thu, Apr 9, 2020,,Denver Nuggets,,Portland Trail Blazers,,,,
game,,2020,Thu, Apr 9, 2020,,Los Angeles Clippers,,Los Angeles Lakers,,,,
game,,2020,Fri, Apr 10, 2020,,Boston Celtics,,Orlando Magic,,,,
game,,2020,Fri, Apr 10, 2020,,Atlanta Hawks,,Toronto Raptors,,,,
game,,2020,Fri, Apr 10, 2020,,Washington Wizards,,Houston Rockets,,,,
game,,2020,Fri, Apr 10, 2020,,New York Knicks,,Oklahoma City Thunder,,,,
game,,2020,Fri, Apr 10, 2020,,Philadelphia 76ers,,San Antonio Spurs,,,,
game,,2020,Sat, Apr 11, 2020,,Detroit Pistons,,Dallas Mavericks,,,,
game,,2020,Sat, Apr 11, 2020,,Washington Wizards,,Charlotte Hornets,,,,
game,,2020,Sat, Apr 11, 2020,,Orlando Magic,,Indiana Pacers,,,,
game,,2020,Sat, Apr 11, 2020,,Philadelphia 76ers,,New Orleans Pelicans,,,,
game,,2020,Sat, Apr 11, 2020,,Milwaukee Bucks,,Cleveland Cavaliers,,,,
game,,2020,Sat, Apr 11, 2020,,Brooklyn Nets,,Chicago Bulls,,,,
game,,2020,Sat, Apr 11, 2020,,Oklahoma City Thunder,,Memphis Grizzlies,,,,
game,,2020,Sat, Apr 11, 2020,,Boston Celtics,,Miami Heat,,,,
game,,2020,Sat, Apr 11, 2020,,Golden State Warriors,,Los Angeles Clippers,,,,
game,,2020,Sat, Apr 11, 2020,,Sacramento Kings,,Denver Nuggets,,,,
game,,2020,Sat, Apr 11, 2020,,Utah Jazz,,Phoenix Suns,,,,
game,,2020,Sun, Apr 12, 2020,,Houston Rockets,,San Antonio Spurs,,,,
game,,2020,Sun, Apr 12, 2020,,New York Knicks,,Toronto Raptors,,,,
game,,2020,Sun, Apr 12, 2020,,Atlanta Hawks,,Milwaukee Bucks,,,,
